"trim_name","gsis_id","season","last_name","first_name","team","name","position","age","team_rank","overall","speed","strength","agility","acceleration","awareness","catch","carrying","throw_power","throw_accuracy","trucking","elusiveness","bc_vision","stiff_arm","spin_move","juke_move","route","catch_in_traffic","spec._catch","release","jumping","throw_accuracy_short","throw_accuracy_mid","throw_accuracy_deep","throw_on_the_run","playaction","tackle","hit_power","power_moves","finesse_moves","block_shedding","pursuit","play_recognition","man_coverage","zone_coverage","press","kick_power","kick_accuracy","impact_blocking","run_block","pass_block","kick_return","toughness","stamina","injury","throw_under_pressure","break_sack","break_tackle","lead_block","run_block_power","pass_block_power","run_block_finesse","pass_block_finesse","short_route_runing","medium_route_running","deep_route_running","player_id"
"AARONCOLVIN","00-0031259",2017,"Colvin","Aaron","Jaguars","Aaron Colvin","CB",NA,3,78,89,57,89,90,81,52,61,35,35,24,70,69,30,64,71,30,32,34,30,86,6,6,6,6,6,62,55,36,45,42,78,81,75,82,75,20,20,48,45,45,45,76,87,76,14.42233,14.61733,57.94217,18.54233,36.09583,38.85583,36.221,35.959,28.37767,21.24983,18.89717,2543501
"AARONCOLVIN","00-0031259",2014,"Aaron","Colvin","Jaguars","Aaron Colvin","CB",NA,6,69,88,48,89,86,60,50,61,35,5,24,70,69,30,64,70,30,32,34,30,84,5,5,5,5,5,61,55,28,35,40,70,68,74,83,67,20,20,45,45,45,51.596,76,87,76,13.27817,12.69767,56.59083,16.14967,36.16567,39.018,36.21267,36.20833,29.06267,21.81767,20.3195,2543501
"AARONCOLVIN","00-0031259",2018,"Colvin","Aaron","Texans","Aaron Colvin","CB",26,2,79,89,57,89,90,81,55,61,35,6,24,70,69,30,64,71,21,46,42,30,86,6,6,6,6,6,63,55,36,45,41,63,81,80,82,78,20,20,48,35,35,45,76,87,81,12,10,60,18,35,35,35,35,30,20,13,2543501
"AARONCOLVIN","00-0031259",2016,"Colvin","Aaron","Jaguars","Aaron Colvin","CB",NA,3,78,88,52,89,89,83,52,61,35,35,24,70,69,30,64,71,30,32,34,30,86,6,6,6,6,6,65,55,33,42,48,77,83,73,80,74,20,20,45,45,45,45,76,87,76,14.28583,15.08283,57.56767,17.51733,35.91633,38.72233,35.94933,35.954,29.65633,21.20233,19.35083,2543501
"AARONCOLVIN","00-0031259",2015,"Colvin","Aaron","Jaguars","Aaron Colvin","CB",NA,4,71,88,48,89,87,64,50,61,35,6,24,70,69,30,64,70,30,32,34,30,84,6,6,6,6,6,62,55,28,35,40,70,68,76,84,69,20,20,45,45,45,45,76,87,76,13.59017,12.8705,57.48433,15.9995,35.94367,39.038,36.20267,36.25033,29.04933,21.30167,19.94667,2543501
"AARONDONALD","00-0031388",2017,"Donald","Aaron","Rams","Aaron Donald","RE",NA,1,99,83,94,82,90,90,42,48,20,25,32,15,25,29,25,21,16,23,47,12,76,6,6,6,6,6,90,76,96,82,91,88,90,30,35,10,25,21,93,45,45,10,87,91,95,16.11,15.14333,11.00833,21.6145,44.97783,44.8745,44.938,44.65667,14.373,8.623,5.751667,2543485
"AARONDONALD","00-0031388",2014,"Aaron","Donald","Rams","Aaron Donald","DT",NA,3,79,81,93,82,87,52,43,45,20,5,32,15,25,29,25,21,10,15,20,12,76,5,5,5,5,5,76,76,86,70,85,85,64,30,35,10,25,21,45,45,45,10.10333,84,91,95,13.19183,12.46667,12.49333,29.48733,38.87233,43.04067,40.96383,40.6805,13.30417,8.512167,5.3905,2543485
"AARONDONALD","00-0031388",2015,"Donald","Aaron","Rams","Aaron Donald","DT",NA,1,92,82,93,82,89,76,43,45,20,6,32,15,25,29,25,21,10,15,20,12,76,6,6,6,6,6,90,76,92,73,87,90,70,30,35,10,25,21,45,45,45,10,84,91,95,14.5065,12.94733,10.68417,31.1115,38.9965,43.254,41.18317,40.74517,13.33917,8.0335,5.6105,2543485
"AARONDONALD","00-0031388",2018,"Donald","Aaron","Rams","Aaron Donald","RE",27,1,99,83,97,82,90,99,42,48,20,6,32,15,25,29,25,21,10,23,47,12,76,6,6,6,6,6,93,76,98,92,88,89,99,25,29,10,25,21,93,45,45,10,87,93,95,15,12,10,23,45,45,45,45,16,9,5,2543485
"AARONDONALD","00-0031388",2016,"Donald","Aaron","Rams","Aaron Donald","DT",NA,1,98,83,94,82,90,82,43,45,20,25,32,15,25,29,25,21,10,15,20,12,76,6,6,6,6,6,90,76,98,82,98,89,82,30,35,10,25,21,45,45,45,10,87,91,95,16.005,15.23383,10.80817,30.81133,38.7465,42.4,41.25517,40.13933,13.29667,8.499833,5.942,2543485
"AARONEPPS","0",2016,"Epps","Aaron","Bengals","Aaron Epps","RT",NA,3,62,62,79,65,74,45,35,40,30,22,20,15,10,19,10,10,15,25,15,40,66,6,6,6,6,6,31,15,25,15,39,29,30,13,15,10,22,21,76,74,75,10,78,84,78,10.28317,13.57517,8.251333,71.472,71.80033,71.74783,72.97883,73.10583,18.48283,11.3035,8.301167,2556832
"AARONEVANS","0",2018,"Evans","Aaron","Eagles","Aaron Evans","LG",23,3,63,62,82,59,76,57,35,39,11,6,25,10,10,10,10,10,8.333333,15,15,15,64,6,6,6,6,6,35,20,10,10,25,30,28,12,13,10,14,12,73,72,71,10,82,80,85,10,12,5,65,73,72,70,70,15,5,5,2561096
"AARONJONES","00-0033293",2017,"Jones","Aaron","Packers","Aaron Jones","HB",NA,4,70,89,71,92,93,54,67,83,30,30,84,63,75,87,64,84,67,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,47,25,44,55,73,86,85,14.89083,19.62367,68.33,43.47667,25.615,30.0295,20.13433,24.693,62.572,52.529,48.92417,2501467
"AARONJONES","00-0033293",2017,"Jones","Aaron","Packers","Aaron Jones","HB",NA,4,70,89,71,92,93,54,67,83,30,30,84,63,75,87,64,84,67,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,47,25,44,55,73,86,85,14.89083,19.62367,68.33,43.47667,25.615,30.0295,20.13433,24.693,62.572,52.529,48.92417,2558116
"AARONJONES","00-0033293",2017,"Jones","Aaron","Packers","Aaron Jones","HB",NA,4,70,89,71,92,93,54,67,83,30,30,84,63,75,87,64,84,67,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,47,25,44,55,73,86,85,14.89083,19.62367,68.33,43.47667,25.615,30.0295,20.13433,24.693,62.572,52.529,48.92417,2501467
"AARONJONES","00-0033293",2018,"Jones","Aaron","Packers","Aaron Jones","HB",23,2,75,89,71,92,93,78,67,86,30,28.33333333,82,69,81,87,73,84,59.66666667,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,42,25,40,55,73,86,85,12,18,76,44,15,26,15,22,67,60,52,2501467
"AARONJONES","00-0033293",2018,"Jones","Aaron","Packers","Aaron Jones","HB",23,2,75,89,71,92,93,78,67,86,30,28.33333333,82,69,81,87,73,84,59.66666667,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,42,25,40,55,73,86,85,12,18,76,44,15,26,15,22,67,60,52,2558116
"AARONJONES","00-0033293",2018,"Jones","Aaron","Packers","Aaron Jones","HB",23,2,75,89,71,92,93,78,67,86,30,28.33333333,82,69,81,87,73,84,59.66666667,63,59,54,89,35,30,20,15,15,20,24,10,10,23,35,18,15,20,20,21,20,42,25,40,55,73,86,85,12,18,76,44,15,26,15,22,67,60,52,2501467
"AARONLYNCH","00-0030993",2018,"Lynch","Aaron","Bears","Aaron Lynch","LOLB",25,1,76,82,76,74,88,74,50,45,10,6,40,15,29,35,34,33,9,21,25,12,76,6,6,6,6,6,78,74,82,70,83,84,74,49,60,45,25,21,74,45,45,10,69,79,88,14,12,10,14,45,45,45,45,15,8,4,2543650
"AARONLYNCH","00-0030993",2017,"Lynch","Aaron","49ers","Aaron Lynch","RE",NA,2,76,83,76,74,89,75,50,45,10,10,40,15,29,35,34,33,15,21,25,12,76,6,6,6,6,6,78,74,82,70,68,78,75,60,71,45,25,21,74,45,45,10,69,79,88,14.094,13.0935,11.68633,14.57517,44.985,44.99,44.9925,44.92,14.11017,6.939333,4.822167,2543650
"AARONLYNCH","00-0030993",2015,"Lynch","Aaron","49ers","Aaron Lynch","LOLB",NA,2,79,82,76,74,92,75,49,45,10,6,40,15,29,35,34,33,15,21,25,12,76,6,6,6,6,6,77,74,91,78,77,78,70,58,68,45,25,21,45,45,45,10,69,77,88,13.685,14.5145,12.077,14.75983,39.68,43.29867,41.89767,40.53583,14.5065,9.537667,5.907667,2543650
"AARONLYNCH","00-0030993",2016,"Lynch","Aaron","49ers","Aaron Lynch","ROLB",NA,1,83,82,76,74,88,82,49,45,10,10,40,15,29,35,34,33,15,21,25,12,76,6,6,6,6,6,78,74,91,79,74,83,82,64,75,45,25,21,45,45,45,10,69,77,88,14.4435,14.33567,11.59733,16.93533,39.65,43.20367,41.9835,40.30533,14.37967,9.413167,6.865833,2543650
"AARONLYNCH","00-0030993",2014,"Aaron","Lynch","49ers","Aaron Lynch","LOLB",NA,3,61,83,72,74,94,37,49,45,10,5,40,15,29,35,34,33,15,21,25,12,76,5,5,5,5,5,74,74,84,64,78,69,55,55,64,45,25,21,45,45,45,10.2235,69,77,88,11.99467,14.8485,14.56417,15.1615,38.54267,42.759,41.61567,41.04067,14.62117,10.1395,9.384333,2543650
"AARONMORGAN","0",2014,"Aaron","Morgan","Colts","Aaron Morgan","ROLB",NA,3,65,77,68,74,85,67,35,35,35,5,40,37,33,42,33,43,10,10,15,12,72,5,5,5,5,5,70,72,77,64,67,82,59,50,60,50,30,30,45,45,45,10.73667,65,76,88,12.62533,12.482,25.15433,15.16983,38.91733,42.89417,41.05033,40.84633,10.54,7.912,8.213167,2507986
"AARONMORGAN","0",2014,"Aaron","Morgan","Colts","Aaron Morgan","ROLB",NA,3,65,77,68,74,85,67,35,35,35,5,40,37,33,42,33,43,10,10,15,12,72,5,5,5,5,5,70,72,77,64,67,82,59,50,60,50,30,30,45,45,45,10.73667,65,76,88,12.62533,12.482,25.15433,15.16983,38.91733,42.89417,41.05033,40.84633,10.54,7.912,8.213167,2507986
"AARONMURRAY","0",2014,"Aaron","Murray","Chiefs","Aaron Murray","QB",NA,3,69,75,49,73,74,53,45,63,85,74.33333,25,41,62,35,45,49,15,15,15,15,69,77,82,64,80,70,20,12,10,10,27,25,13,12,22,10,30,32,27,22,18,10.07,88,92,79,71.08017,55.1955,35.6585,16.02867,17.81333,19.5805,16.55967,17.57567,14.813,13.595,12.75783,2543587
"AARONMURRAY","0",2015,"Murray","Aaron","Chiefs","Aaron Murray","QB",NA,3,68,77,49,73,78,53,45,63,85,72.33333,25,41,62,35,45,49,15,15,15,15,69,77,82,58,80,70,20,12,10,10,27,25,13,12,22,10,30,32,27,22,18,10,88,92,79,68.93833,55.04317,35.741,15.852,17.93,19.5905,16.29733,17.45283,14.857,13.55,12.69783,2543587
"AARONMURRAY","0",2016,"Murray","Aaron","Chiefs","Aaron Murray","QB",NA,3,63,73,49,73,75,52,45,63,85,76,25,34,62,35,45,49,15,15,15,15,69,80,78,68,80,70,20,12,10,10,27,25,13,12,22,10,30,32,27,22,18,10,88,92,79,71.1255,53.78367,34.174,15.90183,17.71867,19.64967,16.88667,17.32867,14.791,13.30417,12.746,2543587
"AARONNEARY","0",2018,"Neary","Aaron","Rams","Aaron Neary","C",25,3,59,67,81,72,81,57,26,22,26,6,25,18,10,10,10,10,6.666667,10,12,12,71,6,6,6,6,6,29,12,10,10,10,30,12,12,12,10,22,22,74,72,71,10,77,84,90,10,12,8,49,70,72,72,69,10,5,5,2556630
"AARONRIPKOWSKI","00-0031612",2015,"Ripkowski","Aaron","Packers","Aaron Ripkowski","HB",NA,6,65,82,74,66,87,52,49,67,30,10,60,37,58,70,55,56,32,48,44,47,82,15,10,5,5,5,45,60,25,30,29,33,15,10,15,15,14,14,71,75,70,40,75,78,88,13.206,13.05467,29.41117,66.04817,64.52533,55.048,60.6655,52.06983,43.16933,35.01633,27.15667,2552477
"AARONRIPKOWSKI","00-0031612",2018,"Ripkowski","Aaron","Packers","Aaron Ripkowski","HB",26,4,64,82,74,66,87,85,55,74,30,10,68,45,67,70,57,61,30.66666667,49,47,50,82,15,10,5,5,5,45,60,25,30,29,33,15,10,15,15,14,14,65,64,60,35,75,78,88,14,12,30,81,57,43,53,37,40,30,22,2552477
"AARONRIPKOWSKI","00-0031612",2016,"Ripkowski","Aaron","Packers","Aaron Ripkowski","HB",NA,3,71,82,74,66,87,62,42,67,30,27,60,37,58,70,55,56,32,48,44,47,82,15,10,5,5,5,45,60,25,30,29,33,15,10,15,15,14,14,77,75,70,35,75,78,88,13.77717,13.77783,29.61683,68.843,63.73667,55.667,60.8045,52.00433,43.288,35.7435,27.79817,2552477
"AARONRIPKOWSKI","00-0031612",2017,"Ripkowski","Aaron","Packers","Aaron Ripkowski","HB",NA,1,83,82,74,66,87,84,55,72,30,27,68,45,67,70,57,61,40,49,47,47,82,15,10,5,5,5,45,60,25,30,29,33,15,10,15,15,14,14,81,72,71,35,75,78,88,15.078,13.80283,32.27267,69.8835,64.38083,53.12017,58.91617,50.9265,44.51367,35.562,28.03417,2552477
"AARONRODGERS","00-0023459",2018,"Rodgers","Aaron","Packers","Aaron Rodgers","QB",34,1,99,79,58,82,82,99,47,63,97,93.33333,30,66,79,20,55,54,13.66667,15,15,15,59,98,94,88,97,96,19,12,10,10,19,24,25,13,19,10,15,18,18,18,12,10,97,98,95,96,90,69,10,18,12,18,12,15,14,12,2506363
"AARONRODGERS","00-0023459",2015,"Rodgers","Aaron","Packers","Aaron Rodgers","QB",NA,1,99,75,58,83,81,95,47,67,95,88.66667,30,45,79,20,55,54,15,15,15,15,59,94,92,80,88,93,19,12,10,10,19,24,25,13,19,10,15,18,18,18,12,10,70,92,88,90.8145,67.12033,44.67333,12.50717,17.3345,12.26183,14.128,13.03867,15.76817,15.5155,13.15617,2506363
"AARONRODGERS","00-0023459",2016,"Rodgers","Aaron","Packers","Aaron Rodgers","QB",NA,1,96,78,58,81,81,91,47,66,98,91,30,60,79,20,55,54,15,15,15,15,59,96,94,90,95,95,19,12,10,10,19,24,25,13,19,10,15,18,18,18,12,10,97,98,95,91.04983,68.62217,55.87667,11.84517,17.3895,12.5585,15.039,13.4425,17.19,15.59433,16.54967,2506363
"AARONRODGERS","00-0023459",2014,"Aaron","Rodgers","Packers","Aaron Rodgers","QB",NA,1,98,80,58,83,85,93,47,67,94,90,30,45,79,20,55,54,15,15,15,15,59,92,88,90,88,87,19,12,10,10,19,24,25,13,19,10,15,18,18,18,12,11.10567,70,92,88,89.598,69.09283,45.16283,12.44133,16.41967,12.155,13.28067,13.03167,15.90317,15.70867,15.848,2506363
"AARONRODGERS","00-0023459",2017,"Rodgers","Aaron","Packers","Aaron Rodgers","QB",NA,1,98,79,58,82,82,97,47,63,97,91,30,66,79,20,55,54,15,15,15,15,59,96,93,89,97,93,19,12,10,10,19,24,25,13,19,10,15,18,18,18,12,10,97,98,95,91.04783,69.93517,59.4235,11.83417,17.01917,12.3855,15.082,13.3675,17.75317,15.67217,16.5085,2506363
"AARONWALLACE","00-0032799",2017,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",NA,2,64,86,81,83,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,29,20,10,82,84,88,13.13283,12.99633,19.6115,14.3875,43.974,42.83517,43.706,42.88583,15.09133,9.4595,9.196,2503514
"AARONWALLACE","00-0032799",2017,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",NA,2,64,86,81,83,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,29,20,10,82,84,88,13.13283,12.99633,19.6115,14.3875,43.974,42.83517,43.706,42.88583,15.09133,9.4595,9.196,2555320
"AARONWALLACE","00-0032799",2017,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",NA,2,64,86,81,83,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,29,20,10,82,84,88,13.13283,12.99633,19.6115,14.3875,43.974,42.83517,43.706,42.88583,15.09133,9.4595,9.196,2503514
"AARONWALLACE","00-0032799",2016,"Wallace","Aaron","Titans","Aaron Wallace","ROLB",NA,4,65,86,81,86,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,29,29,20,10,82,84,88,14.47433,14.43917,19.9715,14.49117,35.56083,39.69933,38.5145,38.46317,14.96683,11.74717,10.92717,2503514
"AARONWALLACE","00-0032799",2016,"Wallace","Aaron","Titans","Aaron Wallace","ROLB",NA,4,65,86,81,86,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,29,29,20,10,82,84,88,14.47433,14.43917,19.9715,14.49117,35.56083,39.69933,38.5145,38.46317,14.96683,11.74717,10.92717,2555320
"AARONWALLACE","00-0032799",2016,"Wallace","Aaron","Titans","Aaron Wallace","ROLB",NA,4,65,86,81,86,88,50,45,40,25,19,24,33,32,29,28,36,15,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,29,29,20,10,82,84,88,14.47433,14.43917,19.9715,14.49117,35.56083,39.69933,38.5145,38.46317,14.96683,11.74717,10.92717,2503514
"AARONWALLACE","00-0032799",2018,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",25,3,67,86,81,83,88,50,45,40,25,6,24,33,32,29,28,36,8.333333,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,45,45,10,82,84,88,10,12,18,11,45,45,45,45,15,5,5,2503514
"AARONWALLACE","00-0032799",2018,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",25,3,67,86,81,83,88,50,45,40,25,6,24,33,32,29,28,36,8.333333,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,45,45,10,82,84,88,10,12,18,11,45,45,45,45,15,5,5,2555320
"AARONWALLACE","00-0032799",2018,"Wallace","Aaron","Titans","Aaron Wallace","LOLB",25,3,67,86,81,83,88,50,45,40,25,6,24,33,32,29,28,36,8.333333,15,20,30,84,6,6,6,6,6,75,78,76,73,71,78,50,53,61,20,14,12,71,45,45,10,82,84,88,10,12,18,11,45,45,45,45,15,5,5,2503514
"AARONWILLIAMS","0",2015,"Williams","Aaron","Bills","Aaron Williams","SS",NA,1,79,90,62,86,88,75,60,60,27,6,45,50,67,45,73,74,30,46,55,15,90,6,6,6,6,6,64,68,40,55,54,67,72,72,80,85,10,11,45,45,45,76,70,90,90,13.38717,17.66333,42.3195,15.1075,35.9085,38.5725,37.01833,36.624,23.52983,18.46383,18.65617,2508110
"AARONWILLIAMS","0",2016,"Williams","Aaron","Bills","Aaron Williams","SS",NA,1,77,89,62,86,88,75,60,60,27,40,45,50,67,45,73,74,30,46,55,15,90,6,6,6,6,6,65,68,40,55,59,71,75,70,78,85,10,11,45,45,45,71,70,90,90,16.18367,17.59417,42.10783,15.031,36.041,38.064,36.705,36.18467,23.33883,17.89167,17.9945,2508110
"AARONWILLIAMS","0",2014,"Aaron","Williams","Bills","Aaron Williams","SS",NA,1,79,87,62,89,90,72,62,60,27,5,45,50,67,45,73,74,30,46,55,15,91,5,5,5,5,5,70,68,40,55,58,65,68,79,82,85,10,11,45,45,45,57.5605,70,90,90,13.249,16.95067,42.45333,15.84617,36.06917,38.6525,37.03667,36.68667,23.34233,17.59667,18.88917,2508110
"ABRYJONES","00-0029946",2018,"Jones","Abry","Jaguars","Abry Jones","DT",26,3,77,66,88,59,77,84,35,42,36,6,22,15,20,28,25,20,8.333333,25,15,25,66,6,6,6,6,6,79,75,80,69,75,78,84,20,29,25,20,20,86,45,45,10,84,76,87,15,12,10,36,45,45,45,46,15,7,3,2539230
"ABRYJONES","00-0029946",2017,"Jones","Abry","Jaguars","Abry Jones","DT",NA,2,80,67,88,59,78,83,35,42,36,19,22,15,20,28,25,20,15,25,15,25,66,6,6,6,6,6,79,75,79,68,84,81,83,20,30,25,20,20,86,45,45,10,84,76,87,15.82833,13.86783,10.464,31.67733,44.6545,44.8205,44.962,44.972,15.55067,7.954167,3.498667,2539230
"ABRYJONES","00-0029946",2014,"Abry","Jones","Jaguars","Abry Jones","DT",NA,5,63,54,87,56,69,44,40,42,36,5,22,15,20,28,25,20,15,25,15,25,66,5,5,5,5,5,80,70,73,63,78,72,55,20,30,25,20,20,45,45,45,10.27333,84,76,87,10.998,14.691,12.6995,28.52917,40.265,43.12417,42.968,41.18467,15.096,11.95833,6.523667,2539230
"ABRYJONES","00-0029946",2015,"Jones","Abry","Jaguars","Abry Jones","DT",NA,6,68,66,86,56,77,64,40,42,36,6,22,15,20,28,25,20,15,25,15,25,66,6,6,6,6,6,69,70,75,62,69,69,58,20,30,25,20,20,45,45,45,10,84,76,87,11.17433,12.33983,11.18517,28.0605,39.49783,43.24917,41.22933,41.032,15.20483,10.80083,7.872,2539230
"ABRYJONES","00-0029946",2016,"Jones","Abry","Jaguars","Abry Jones","DT",NA,4,68,65,87,57,76,62,40,42,36,19,22,15,20,28,25,20,15,25,15,25,66,6,6,6,6,6,70,70,80,65,77,72,62,20,30,25,20,20,45,45,45,10,84,76,87,12.65883,14.304,10.8885,28.101,39.12783,42.96067,41.42133,40.7435,15.67117,11.14967,6.121,2539230
"ACESANDERS","0",2014,"Ace","Sanders","Jaguars","Ace Sanders","WR",NA,3,73,88,42,95,93,72,83,65,28,28.33333,45,92,88,39,84,94,73,74,75,59,81,35,30,20,15,15,30,12,10,10,36,42,25,10,20,10,15,14,35,45,35,82.6475,73,94,86,20.5355,24.7445,82.6605,21.99817,27.76733,19.45483,23.5225,18.48167,74.00533,73.36867,73.3965,2540267
"ACESANDERS","0",2015,"Sanders","Ace","Jaguars","Ace Sanders","WR",NA,5,71,87,41,95,92,71,79,65,28,28.33333,45,90,87,39,84,93,72,69,75,59,81,35,30,20,15,15,30,12,10,10,36,42,25,10,20,10,15,14,35,45,35,85,73,94,86,19.6385,24.74117,82.27317,22.07467,27.36317,18.87783,23.39467,18.10317,70.4565,70.611,70.82333,2540267
"ADAMBISNOWATY","0",2018,"Bisnowaty","Adam","Lions","Adam Bisnowaty","RT",24,2,67,65,86,52,78,53,28,23,24,6,33,18,15,32,12,18,8.333333,15,15,15,73,6,6,6,6,6,33,42,20,10,35,31,19,10,12,10,13,14,75,79,70,10,78,80,83,0,12,9,73,79,70,74,69,15,5,5,2557834
"ADAMBISNOWATY","0",2017,"Bisnowaty","Adam","Giants","Adam Bisnowaty","LT",NA,3,65,65,86,52,78,53,28,23,24,9,33,18,15,32,12,18,15,15,15,15,73,6,6,6,6,6,33,42,20,10,35,31,19,10,12,10,13,14,75,76,74,10,78,80,83,7.168833,11.98,9.565167,72.81983,74.453,72.58317,74.09767,72.35033,14.807,6.102667,5.141,2557834
